RingId,Name,Age,Type,Color,Status,ForSale
AUTO52,Bird52,20,Finch,Red,Sold,True
AUTO53,Bird53,22,Finch,Blue,Quarantine,True
AUTO54,Bird54,8,Owl,Blue,Sold,False
AUTO55,Bird55,11,Cockatiel,Black,Sold,True
AUTO56,Bird56,22,Cockatiel,Black,Sold,True
AUTO57,Bird57,1,Parrot,White,In Aviary,True
AUTO58,Bird58,12,Finch,Blue,Sold,True
AUTO59,Bird59,1,Finch,Yellow,Sold,False
AUTO60,Bird60,2,Cockatiel,Blue,Sold,False
AUTO61,Bird61,1,Owl,Blue,Quarantine,False
AUTO62,Bird62,11,Parrot,Black,In Aviary,False
AUTO63,Bird63,9,Parrot,Green,In Aviary,False
AUTO64,Bird64,21,Eagle,White,Quarantine,False
AUTO65,Bird65,1,Cockatiel,Black,Sold,True
AUTO66,Bird66,21,Owl,Green,In Aviary,False
AUTO67,Bird67,9,Finch,Blue,In Aviary,False
AUTO68,Bird68,5,Cockatiel,Black,In Aviary,False
AUTO69,Bird69,20,Owl,Yellow,In Aviary,True
AUTO70,Bird70,20,Parrot,Green,Quarantine,False
AUTO71,Bird71,10,Eagle,Blue,In Aviary,True
AUTO72,Bird72,17,Owl,Blue,In Aviary,False
AUTO73,Bird73,18,Parrot,Red,Sold,False
AUTO74,Bird74,4,Parrot,Red,In Aviary,False
AUTO75,Bird75,4,Parrot,Red,Sold,True
AUTO76,Bird76,2,Eagle,Blue,Sold,True
AUTO77,Bird77,2,Cockatiel,White,Sold,False
AUTO78,Bird78,19,Parrot,Yellow,Sold,True
AUTO79,Bird79,18,Cockatiel,Green,Quarantine,True
AUTO80,Bird80,10,Owl,Green,Sold,False
AUTO81,Bird81,24,Cockatiel,Red,In Aviary,True
AUTO82,Bird82,5,Finch,Yellow,In Aviary,True
AUTO83,Bird83,8,Finch,Yellow,Sold,False
AUTO84,Bird84,17,Cockatiel,Yellow,In Aviary,True
AUTO85,Bird85,1,Owl,Green,In Aviary,False
AUTO86,Bird86,6,Cockatiel,Yellow,Quarantine,True
AUTO87,Bird87,4,Eagle,Green,Quarantine,True
AUTO88,Bird88,13,Parrot,Red,Sold,True
AUTO89,Bird89,1,Parrot,Blue,Sold,False
AUTO90,Bird90,24,Parrot,Blue,Quarantine,True
AUTO91,Bird91,21,Cockatiel,Yellow,In Aviary,False
AUTO92,Bird92,16,Eagle,Green,In Aviary,False
AUTO93,Bird93,18,Owl,Red,Sold,True
AUTO94,Bird94,5,Parrot,White,Sold,True
AUTO95,Bird95,14,Finch,White,Sold,False
AUTO96,Bird96,8,Parrot,Blue,Sold,False
AUTO97,Bird97,12,Cockatiel,Green,Quarantine,False
AUTO98,Bird98,9,Eagle,Black,In Aviary,True
AUTO99,Bird99,20,Parrot,Black,Sold,True
AUTO100,Bird100,19,Eagle,Yellow,Quarantine,False
AUTO101,Bird101,5,Finch,Black,In Aviary,False
AUTO102,Bird102,15,Parrot,Red,Quarantine,True
AUTO103,Bird103,8,Parrot,Yellow,Sold,False
AUTO104,Bird104,5,Finch,Black,In Aviary,False
AUTO105,Bird105,19,Finch,Green,In Aviary,True
AUTO106,Bird106,7,Finch,White,In Aviary,True
AUTO107,Bird107,18,Eagle,Yellow,Quarantine,True
AUTO108,Bird108,6,Owl,White,Quarantine,True
AUTO109,Bird109,14,Cockatiel,Blue,In Aviary,True
AUTO110,Bird110,19,Parrot,Blue,Sold,True
AUTO111,Bird111,2,Owl,Green,In Aviary,False
AUTO112,Bird112,14,Eagle,Red,In Aviary,False
AUTO113,Bird113,5,Finch,Black,In Aviary,True
AUTO114,Bird114,24,Finch,Red,In Aviary,False
AUTO115,Bird115,9,Eagle,Red,Sold,True
AUTO116,Bird116,5,Owl,Blue,In Aviary,False
AUTO117,Bird117,5,Eagle,Blue,Quarantine,True
AUTO118,Bird118,4,Parrot,Black,In Aviary,False
AUTO119,Bird119,19,Finch,Green,Quarantine,False
AUTO120,Bird120,12,Parrot,Green,In Aviary,False
AUTO121,Bird121,14,Eagle,Blue,In Aviary,True
AUTO122,Bird122,19,Finch,Yellow,Quarantine,True
AUTO123,Bird123,16,Finch,Blue,In Aviary,False
AUTO124,Bird124,2,Parrot,Red,In Aviary,True
AUTO125,Bird125,24,Owl,Green,In Aviary,True
AUTO126,Bird126,11,Cockatiel,White,In Aviary,False
AUTO127,Bird127,2,Eagle,Yellow,In Aviary,True
AUTO128,Bird128,7,Cockatiel,Red,In Aviary,True
AUTO129,Bird129,17,Parrot,White,In Aviary,True
AUTO130,Bird130,2,Eagle,Red,Quarantine,True
AUTO131,Bird131,9,Cockatiel,White,In Aviary,False
AUTO132,Bird132,14,Eagle,Green,In Aviary,False
AUTO133,Bird133,16,Parrot,Red,Quarantine,False
AUTO134,Bird134,3,Parrot,White,Sold,True
AUTO135,Bird135,17,Finch,Green,Sold,False
AUTO136,Bird136,16,Finch,White,Quarantine,True
AUTO137,Bird137,10,Eagle,Blue,In Aviary,False
AUTO138,Bird138,21,Parrot,White,Sold,True
AUTO139,Bird139,3,Cockatiel,White,Quarantine,True
AUTO140,Bird140,13,Eagle,White,Sold,False
AUTO141,Bird141,6,Cockatiel,Red,In Aviary,True
AUTO142,Bird142,19,Parrot,Green,In Aviary,False
AUTO143,Bird143,13,Finch,Yellow,In Aviary,False
AUTO144,Bird144,7,Parrot,White,Sold,True
AUTO145,Bird145,12,Finch,Green,Quarantine,False
AUTO146,Bird146,6,Cockatiel,Green,Sold,False
AUTO147,Bird147,23,Owl,Green,Sold,True
AUTO148,Bird148,12,Finch,Yellow,Quarantine,True
AUTO149,Bird149,1,Parrot,Green,Quarantine,False
AUTO150,Bird150,8,Parrot,White,Quarantine,False
AUTO151,Bird151,20,Finch,Black,In Aviary,False
AUTO152,Bird152,17,Cockatiel,Red,In Aviary,True
AUTO153,Bird153,6,Eagle,Green,Sold,False
AUTO154,Bird154,21,Finch,Green,In Aviary,False
AUTO155,Bird155,5,Eagle,Yellow,Quarantine,True
AUTO156,Bird156,8,Owl,Black,Sold,False
AUTO157,Bird157,14,Cockatiel,Red,In Aviary,True
AUTO158,Bird158,1,Eagle,Blue,In Aviary,False
AUTO159,Bird159,2,Eagle,Red,Quarantine,False
AUTO160,Bird160,4,Parrot,White,Quarantine,False
AUTO161,Bird161,9,Finch,Green,In Aviary,True
AUTO162,Bird162,9,Eagle,Black,In Aviary,True
AUTO163,Bird163,12,Finch,Blue,Quarantine,True
AUTO164,Bird164,1,Finch,Green,Quarantine,True
AUTO165,Bird165,8,Parrot,White,Quarantine,True
AUTO166,Bird166,7,Parrot,Black,Sold,False
AUTO167,Bird167,21,Eagle,Red,Sold,True
AUTO168,Bird168,9,Finch,Red,Quarantine,True
AUTO169,Bird169,9,Cockatiel,Blue,Sold,False
AUTO170,Bird170,18,Cockatiel,Red,Sold,False
AUTO171,Bird171,16,Parrot,White,In Aviary,True
AUTO172,Bird172,16,Finch,Red,In Aviary,False
AUTO173,Bird173,7,Cockatiel,White,Quarantine,True
AUTO174,Bird174,20,Cockatiel,Yellow,Quarantine,False
AUTO175,Bird175,5,Cockatiel,Blue,In Aviary,False
AUTO176,Bird176,22,Eagle,Blue,Sold,True
AUTO177,Bird177,2,Finch,Blue,Sold,True
AUTO178,Bird178,4,Owl,Blue,In Aviary,False
AUTO179,Bird179,7,Cockatiel,Blue,Sold,True
AUTO180,Bird180,19,Parrot,White,Sold,True
AUTO181,Bird181,2,Finch,Green,Sold,False
AUTO182,Bird182,22,Cockatiel,Yellow,Quarantine,True
AUTO183,Bird183,8,Cockatiel,Yellow,Quarantine,False
AUTO184,Bird184,14,Finch,Blue,Sold,True
AUTO185,Bird185,3,Cockatiel,Blue,In Aviary,False
AUTO186,Bird186,5,Finch,Red,In Aviary,True
AUTO187,Bird187,3,Cockatiel,Green,In Aviary,False
AUTO188,Bird188,19,Owl,Green,Quarantine,True
AUTO189,Bird189,8,Cockatiel,Black,Quarantine,True
AUTO190,Bird190,2,Finch,Red,Quarantine,True
AUTO191,Bird191,17,Finch,Green,Sold,False
AUTO192,Bird192,11,Owl,Red,Quarantine,True
AUTO193,Bird193,18,Parrot,Red,Sold,True
AUTO194,Bird194,8,Finch,Green,Sold,False
AUTO195,Bird195,17,Finch,White,Sold,False
AUTO196,Bird196,9,Finch,Yellow,In Aviary,True
AUTO197,Bird197,11,Finch,White,In Aviary,True
AUTO198,Bird198,22,Cockatiel,Green,Quarantine,False
AUTO199,Bird199,3,Cockatiel,Green,Quarantine,True
AUTO200,Bird200,23,Parrot,Black,Sold,False
AUTO201,Bird201,19,Parrot,Blue,Quarantine,False
AUTO202,Bird202,5,Eagle,White,Sold,False
AUTO203,Bird203,20,Owl,Red,Sold,True
AUTO204,Bird204,17,Cockatiel,Black,Quarantine,True
AUTO205,Bird205,9,Parrot,Black,In Aviary,False
AUTO206,Bird206,18,Cockatiel,Yellow,Sold,True
AUTO207,Bird207,2,Parrot,Green,Quarantine,True
AUTO208,Bird208,21,Finch,Yellow,Quarantine,True
AUTO209,Bird209,22,Owl,White,In Aviary,False
AUTO210,Bird210,7,Cockatiel,Yellow,Sold,True
AUTO211,Bird211,22,Cockatiel,White,Sold,True
AUTO212,Bird212,20,Parrot,Black,Sold,False
AUTO213,Bird213,8,Owl,Red,Sold,True
AUTO214,Bird214,18,Cockatiel,Black,Quarantine,False
AUTO215,Bird215,19,Finch,Red,Quarantine,True
AUTO216,Bird216,8,Cockatiel,Yellow,Sold,True
AUTO217,Bird217,9,Eagle,Green,Sold,False
AUTO218,Bird218,19,Cockatiel,Red,In Aviary,True
AUTO219,Bird219,18,Cockatiel,Black,Sold,True
AUTO220,Bird220,19,Eagle,Red,In Aviary,True
AUTO221,Bird221,9,Eagle,Black,Sold,True
AUTO222,Bird222,2,Cockatiel,Green,Quarantine,False
AUTO223,Bird223,19,Cockatiel,Red,Sold,True
AUTO224,Bird224,21,Finch,Yellow,Sold,True
AUTO225,Bird225,24,Eagle,Red,In Aviary,False
AUTO226,Bird226,22,Parrot,Black,Quarantine,False
AUTO227,Bird227,9,Parrot,Green,Quarantine,False
AUTO228,Bird228,24,Finch,Blue,Sold,False
AUTO229,Bird229,6,Eagle,Yellow,In Aviary,False
AUTO230,Bird230,24,Parrot,Green,Sold,True
AUTO231,Bird231,7,Parrot,Black,In Aviary,True
AUTO232,Bird232,4,Finch,Yellow,In Aviary,True
AUTO233,Bird233,9,Eagle,Black,In Aviary,True
AUTO234,Bird234,21,Parrot,White,Sold,False
AUTO235,Bird235,3,Owl,Blue,Sold,True
AUTO236,Bird236,20,Parrot,Blue,In Aviary,False
AUTO237,Bird237,1,Finch,Yellow,In Aviary,True
AUTO238,Bird238,24,Parrot,Blue,Quarantine,False
AUTO239,Bird239,4,Finch,Black,In Aviary,True
AUTO240,Bird240,5,Owl,White,Quarantine,False
AUTO241,Bird241,10,Owl,White,Sold,True
AUTO242,Bird242,19,Owl,Black,Sold,True
AUTO243,Bird243,12,Parrot,Black,In Aviary,True
AUTO244,Bird244,22,Parrot,Black,In Aviary,True
AUTO245,Bird245,6,Eagle,Green,Quarantine,False
AUTO246,Bird246,2,Parrot,White,Quarantine,True
AUTO247,Bird247,12,Parrot,Yellow,Sold,True
AUTO248,Bird248,20,Owl,White,In Aviary,True
AUTO249,Bird249,9,Finch,White,Sold,False
AUTO250,Bird250,1,Parrot,White,Sold,True
AUTO251,Bird251,9,Owl,Green,In Aviary,False
AUTO252,Bird252,11,Eagle,Red,Sold,True
AUTO253,Bird253,22,Finch,Red,Sold,True
AUTO254,Bird254,22,Finch,Green,Quarantine,False
AUTO255,Bird255,9,Parrot,Yellow,Sold,True
AUTO256,Bird256,17,Cockatiel,Red,Sold,False
AUTO257,Bird257,1,Finch,Green,Sold,False
AUTO258,Bird258,13,Eagle,Green,Sold,False
AUTO259,Bird259,15,Owl,White,In Aviary,True
AUTO260,Bird260,2,Eagle,Red,In Aviary,True
AUTO261,Bird261,18,Finch,Red,In Aviary,False
AUTO262,Bird262,12,Parrot,Blue,Quarantine,False
AUTO263,Bird263,5,Owl,Yellow,Quarantine,False
AUTO264,Bird264,13,Finch,Yellow,Quarantine,True
AUTO265,Bird265,24,Eagle,White,Sold,False
AUTO266,Bird266,23,Eagle,Black,In Aviary,True
AUTO267,Bird267,8,Cockatiel,White,Quarantine,False
AUTO268,Bird268,10,Cockatiel,Red,In Aviary,False
AUTO269,Bird269,11,Parrot,Blue,Quarantine,True
AUTO270,Bird270,12,Parrot,Green,Sold,False
AUTO271,Bird271,16,Owl,Black,Quarantine,True
AUTO272,Bird272,15,Eagle,Yellow,Quarantine,True
AUTO273,Bird273,21,Eagle,White,Quarantine,False
AUTO274,Bird274,13,Finch,White,In Aviary,False
AUTO275,Bird275,14,Eagle,White,In Aviary,True
AUTO276,Bird276,1,Eagle,Green,In Aviary,True
AUTO277,Bird277,23,Parrot,Yellow,Quarantine,False
AUTO278,Bird278,24,Parrot,Blue,Sold,False
AUTO279,Bird279,15,Eagle,Red,In Aviary,True
AUTO280,Bird280,21,Cockatiel,Blue,Quarantine,True
AUTO281,Bird281,12,Owl,Green,Quarantine,False
AUTO282,Bird282,21,Cockatiel,Yellow,Sold,True
AUTO283,Bird283,18,Finch,Red,Sold,True
AUTO284,Bird284,22,Owl,Blue,Sold,False
AUTO285,Bird285,7,Eagle,Blue,Sold,True
AUTO286,Bird286,2,Cockatiel,Yellow,Quarantine,False
AUTO287,Bird287,22,Eagle,Yellow,Sold,False
AUTO288,Bird288,8,Finch,White,Sold,True
AUTO289,Bird289,18,Finch,Blue,In Aviary,True
AUTO290,Bird290,12,Owl,Blue,Sold,False
AUTO291,Bird291,21,Eagle,White,Sold,True
AUTO292,Bird292,11,Finch,Blue,In Aviary,True
AUTO293,Bird293,24,Parrot,Red,Quarantine,False
AUTO294,Bird294,10,Parrot,Yellow,Sold,False
AUTO295,Bird295,16,Cockatiel,Red,In Aviary,True
AUTO296,Bird296,12,Owl,Red,Sold,False
AUTO297,Bird297,19,Parrot,Blue,In Aviary,True
AUTO298,Bird298,22,Eagle,Black,Sold,False
AUTO299,Bird299,13,Cockatiel,Black,In Aviary,False
AUTO300,Bird300,8,Owl,Blue,Sold,False
AUTO301,Bird301,7,Eagle,White,Quarantine,True
AUTO302,Bird302,15,Parrot,Red,Quarantine,False
AUTO303,Bird303,11,Finch,Red,In Aviary,True
AUTO304,Bird304,5,Eagle,Black,Sold,True
AUTO305,Bird305,11,Owl,Red,Quarantine,True
AUTO306,Bird306,7,Owl,Green,Sold,False
AUTO307,Bird307,15,Finch,Green,Quarantine,True
AUTO308,Bird308,23,Parrot,Blue,In Aviary,True
AUTO309,Bird309,1,Cockatiel,White,Sold,True
AUTO310,Bird310,22,Cockatiel,Blue,Quarantine,True
AUTO311,Bird311,23,Parrot,White,Sold,True
AUTO312,Bird312,16,Parrot,Black,In Aviary,True
AUTO313,Bird313,2,Finch,White,In Aviary,True
AUTO314,Bird314,21,Cockatiel,White,In Aviary,False
AUTO315,Bird315,7,Parrot,Blue,In Aviary,False
AUTO316,Bird316,12,Finch,White,Sold,True
AUTO317,Bird317,24,Cockatiel,Black,Quarantine,True
AUTO318,Bird318,10,Eagle,Black,Sold,False
AUTO319,Bird319,14,Parrot,Black,Sold,False
AUTO320,Bird320,3,Eagle,Blue,In Aviary,False
AUTO321,Bird321,14,Eagle,Yellow,Sold,False
AUTO322,Bird322,7,Eagle,Yellow,In Aviary,True
AUTO323,Bird323,19,Cockatiel,Green,In Aviary,False
AUTO324,Bird324,21,Eagle,Yellow,Quarantine,True
AUTO325,Bird325,2,Eagle,Red,Quarantine,False
AUTO326,Bird326,19,Parrot,Yellow,Quarantine,True
AUTO327,Bird327,5,Owl,Blue,Sold,False
AUTO328,Bird328,16,Owl,Black,In Aviary,False
AUTO329,Bird329,2,Parrot,Red,Sold,True
AUTO330,Bird330,4,Eagle,Yellow,Quarantine,False
AUTO331,Bird331,15,Owl,Red,Sold,True
AUTO332,Bird332,22,Parrot,Green,Quarantine,True
AUTO333,Bird333,18,Eagle,Green,In Aviary,True
AUTO334,Bird334,20,Cockatiel,Black,Quarantine,True
AUTO335,Bird335,14,Cockatiel,Black,Quarantine,False
AUTO336,Bird336,6,Cockatiel,Yellow,Sold,False
AUTO337,Bird337,16,Cockatiel,Green,Sold,True
AUTO338,Bird338,14,Finch,Black,Sold,False
AUTO339,Bird339,11,Eagle,White,In Aviary,True
AUTO340,Bird340,22,Finch,White,Sold,False
AUTO341,Bird341,12,Eagle,Blue,Quarantine,False
AUTO342,Bird342,17,Eagle,Blue,Quarantine,False
AUTO343,Bird343,9,Cockatiel,White,Quarantine,False
AUTO344,Bird344,15,Cockatiel,Black,In Aviary,True
AUTO345,Bird345,15,Cockatiel,Blue,Quarantine,False
AUTO346,Bird346,4,Cockatiel,Green,In Aviary,True
AUTO347,Bird347,11,Cockatiel,Black,In Aviary,True
AUTO348,Bird348,16,Finch,Blue,Sold,True
AUTO349,Bird349,4,Parrot,Green,Sold,False
AUTO350,Bird350,24,Owl,Black,In Aviary,False
AUTO351,Bird351,23,Eagle,Blue,In Aviary,False
AUTO352,Bird352,15,Eagle,Blue,In Aviary,False
AUTO353,Bird353,9,Cockatiel,White,In Aviary,True
AUTO354,Bird354,23,Finch,Red,In Aviary,True
AUTO355,Bird355,12,Cockatiel,Red,Quarantine,False
AUTO356,Bird356,9,Cockatiel,Blue,Quarantine,False
AUTO357,Bird357,8,Cockatiel,Green,In Aviary,True
AUTO358,Bird358,16,Eagle,Black,Sold,False
AUTO359,Bird359,18,Eagle,White,Quarantine,False
AUTO360,Bird360,23,Finch,Black,Quarantine,False
AUTO361,Bird361,14,Finch,Green,In Aviary,True
AUTO362,Bird362,12,Eagle,White,Quarantine,True
AUTO363,Bird363,17,Owl,Green,In Aviary,True
AUTO364,Bird364,24,Parrot,White,Sold,False
AUTO365,Bird365,3,Finch,White,In Aviary,False
AUTO366,Bird366,10,Eagle,Green,Quarantine,True
AUTO367,Bird367,2,Finch,Yellow,In Aviary,True
AUTO368,Bird368,8,Eagle,Red,Quarantine,True
AUTO369,Bird369,8,Eagle,Black,Sold,False
AUTO370,Bird370,9,Finch,Red,Quarantine,False
AUTO371,Bird371,12,Cockatiel,Red,In Aviary,False
AUTO372,Bird372,24,Eagle,Red,Sold,True
AUTO373,Bird373,23,Finch,Green,Quarantine,True
AUTO374,Bird374,5,Cockatiel,White,Quarantine,False
AUTO375,Bird375,16,Finch,White,Sold,False
AUTO376,Bird376,7,Finch,White,In Aviary,True
AUTO377,Bird377,14,Parrot,White,Quarantine,False
AUTO378,Bird378,8,Owl,Blue,Sold,False
AUTO379,Bird379,8,Parrot,Red,Sold,False
AUTO380,Bird380,24,Parrot,Green,Quarantine,False
AUTO381,Bird381,2,Cockatiel,Blue,In Aviary,False
AUTO382,Bird382,24,Cockatiel,Blue,In Aviary,False
AUTO383,Bird383,17,Cockatiel,White,Sold,False
AUTO384,Bird384,21,Eagle,Black,Sold,True
AUTO385,Bird385,2,Owl,Black,Sold,False
AUTO386,Bird386,22,Eagle,White,Quarantine,False
AUTO387,Bird387,9,Cockatiel,White,In Aviary,False
AUTO388,Bird388,15,Cockatiel,Black,In Aviary,True
AUTO389,Bird389,10,Finch,White,In Aviary,False
AUTO390,Bird390,5,Owl,Red,In Aviary,True
AUTO391,Bird391,12,Cockatiel,White,Sold,False
AUTO392,Bird392,7,Parrot,White,Quarantine,True
AUTO393,Bird393,22,Eagle,Red,In Aviary,False
AUTO394,Bird394,8,Eagle,Green,In Aviary,False
AUTO395,Bird395,13,Finch,Blue,In Aviary,False
AUTO396,Bird396,19,Finch,White,Sold,False
AUTO397,Bird397,7,Owl,Yellow,Quarantine,True
AUTO398,Bird398,9,Parrot,Yellow,Quarantine,False
AUTO399,Bird399,23,Finch,White,Quarantine,False
AUTO400,Bird400,8,Owl,Black,Sold,False
AUTO401,Bird401,7,Eagle,Red,In Aviary,False
AUTO402,Bird402,8,Eagle,Blue,Sold,True
AUTO403,Bird403,21,Eagle,White,In Aviary,False
AUTO404,Bird404,15,Owl,Black,In Aviary,True
AUTO405,Bird405,23,Eagle,Red,Quarantine,False
AUTO406,Bird406,14,Owl,White,Sold,False
AUTO407,Bird407,23,Eagle,White,In Aviary,True
AUTO408,Bird408,18,Eagle,Red,In Aviary,False
AUTO409,Bird409,5,Owl,Red,Sold,True
AUTO410,Bird410,1,Parrot,Yellow,Sold,True
AUTO411,Bird411,14,Finch,Black,In Aviary,False
AUTO412,Bird412,10,Parrot,Black,Sold,False
AUTO413,Bird413,16,Owl,Yellow,Sold,False
AUTO414,Bird414,24,Cockatiel,White,Quarantine,True
AUTO415,Bird415,22,Eagle,White,In Aviary,False
AUTO416,Bird416,24,Finch,White,In Aviary,False
AUTO417,Bird417,10,Finch,Green,Sold,False
AUTO418,Bird418,9,Owl,Yellow,Sold,False
AUTO419,Bird419,10,Eagle,Green,Quarantine,False
AUTO420,Bird420,7,Owl,Black,In Aviary,True
AUTO421,Bird421,18,Finch,Green,Sold,True
AUTO422,Bird422,4,Finch,Black,Quarantine,True
AUTO423,Bird423,18,Parrot,Red,In Aviary,False
AUTO424,Bird424,16,Cockatiel,Red,Sold,False
AUTO425,Bird425,18,Finch,Yellow,In Aviary,True
AUTO426,Bird426,12,Cockatiel,White,In Aviary,False
AUTO427,Bird427,17,Finch,Red,In Aviary,False
AUTO428,Bird428,18,Cockatiel,Blue,Quarantine,True
AUTO429,Bird429,19,Eagle,Green,Sold,False
AUTO430,Bird430,1,Cockatiel,Blue,Quarantine,True
AUTO431,Bird431,20,Finch,Yellow,In Aviary,True
AUTO432,Bird432,18,Cockatiel,Black,Quarantine,False
AUTO433,Bird433,18,Eagle,Red,Sold,False
AUTO434,Bird434,3,Parrot,Black,In Aviary,False
AUTO435,Bird435,12,Eagle,Blue,Sold,False
AUTO436,Bird436,9,Eagle,Blue,Sold,False
AUTO437,Bird437,5,Finch,White,In Aviary,True
AUTO438,Bird438,15,Cockatiel,Blue,Sold,True
AUTO439,Bird439,3,Owl,Yellow,Sold,False
AUTO440,Bird440,17,Parrot,Blue,Sold,False
AUTO441,Bird441,5,Parrot,White,In Aviary,True
AUTO442,Bird442,21,Finch,Black,Quarantine,True
AUTO443,Bird443,12,Eagle,Yellow,In Aviary,False
AUTO444,Bird444,19,Eagle,Black,Sold,True
AUTO445,Bird445,15,Owl,Black,Quarantine,True
AUTO446,Bird446,1,Cockatiel,Blue,Quarantine,False
AUTO447,Bird447,20,Owl,White,Quarantine,False
AUTO448,Bird448,13,Owl,Red,Sold,True
AUTO449,Bird449,21,Finch,Black,Sold,True
AUTO450,Bird450,24,Eagle,Green,In Aviary,True
AUTO451,Bird451,11,Parrot,Green,In Aviary,True
AUTO452,Bird452,2,Owl,Blue,Quarantine,False
AUTO453,Bird453,6,Eagle,Green,Quarantine,False
AUTO454,Bird454,15,Owl,Green,Sold,True
AUTO455,Bird455,20,Parrot,Blue,In Aviary,False
AUTO456,Bird456,10,Eagle,Black,Sold,True
AUTO457,Bird457,20,Owl,White,In Aviary,True
AUTO458,Bird458,4,Cockatiel,Blue,Sold,True
AUTO459,Bird459,13,Eagle,White,Quarantine,False
AUTO460,Bird460,10,Finch,White,Quarantine,True
AUTO461,Bird461,13,Parrot,Yellow,Quarantine,True
AUTO462,Bird462,2,Owl,Green,Sold,False
AUTO463,Bird463,14,Owl,White,Quarantine,False
AUTO464,Bird464,16,Eagle,Black,In Aviary,True
AUTO465,Bird465,14,Eagle,Blue,In Aviary,True
AUTO466,Bird466,19,Cockatiel,Black,Quarantine,False
AUTO467,Bird467,1,Finch,Yellow,Quarantine,True
AUTO468,Bird468,22,Owl,Yellow,In Aviary,True
AUTO469,Bird469,22,Eagle,Red,Sold,True
AUTO470,Bird470,12,Finch,White,Sold,True
AUTO471,Bird471,18,Owl,Blue,Sold,False
AUTO472,Bird472,24,Owl,Red,Quarantine,True
AUTO473,Bird473,17,Parrot,Yellow,Quarantine,False
AUTO474,Bird474,22,Owl,Blue,Sold,False
AUTO475,Bird475,12,Eagle,Yellow,In Aviary,True
AUTO476,Bird476,15,Parrot,Green,Quarantine,False
AUTO477,Bird477,15,Cockatiel,Red,Quarantine,True
AUTO478,Bird478,22,Owl,White,In Aviary,True
AUTO479,Bird479,5,Finch,Black,In Aviary,True
AUTO480,Bird480,21,Owl,Black,In Aviary,True
AUTO481,Bird481,3,Cockatiel,Red,In Aviary,False
AUTO482,Bird482,23,Cockatiel,Black,Sold,False
AUTO483,Bird483,12,Finch,Blue,In Aviary,True
AUTO484,Bird484,1,Eagle,Green,Quarantine,True
AUTO485,Bird485,16,Cockatiel,Yellow,Quarantine,False
AUTO486,Bird486,2,Finch,Black,In Aviary,True
AUTO487,Bird487,11,Parrot,Black,In Aviary,False
